DX,Description,CMS-HCC PACE/ESRD Model Category V21,CMSHCC,"RxHCC 
Model Category V05 ","CMS-HCC 
PACE/ESRD Model 
for 2017 
Payment Year","CMS-HCC Model 
for 2017 
Payment Year","RxHCC Model 
for 2017 
Payment Year"
S06311A,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06311S,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06312A,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06312S,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06313A,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06313S,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06314A,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06314S,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06315A,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06315S,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06316A,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06316S,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06319A,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06319S,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06320A,"Contusion and laceration of left cerebrum without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06320S,"Contusion and laceration of left cerebrum without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06321A,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06321S,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06322A,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06322S,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06323A,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06323S,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06324A,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06324S,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06325A,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06325S,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06326A,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06326S,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06329A,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06329S,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06330A,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06330S,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06331A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06331S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06332A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06332S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06333A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06333S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06334A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06334S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06335A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06335S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06336A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06336S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06339A,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06339S,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06340A,"Traumatic hemorrhage of right cerebrum without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06340S,"Traumatic hemorrhage of right cerebrum without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06341A,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06341S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06342A,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06342S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06343A,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06343S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06344A,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06344S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06345A,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06345S,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06346A,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06346S,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06349A,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06349S,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06350A,"Traumatic hemorrhage of left cerebrum without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06350S,"Traumatic hemorrhage of left cerebrum without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06351A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06351S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06352A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06352S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06353A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06353S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06354A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06354S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06355A,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06355S,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06356A,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06356S,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06359A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06359S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06360A,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06360S,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06361A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06361S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06362A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06362S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06363A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06363S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06364A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06364S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06365A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06365S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06366A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06366S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06369A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06369S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06370A,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06370S,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06371A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06371S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06372A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06372S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06373A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06373S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06374A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06374S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06375A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06375S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06376A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06376S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06379A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06379S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06380A,"Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06380S,"Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06381A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06381S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06382A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06382S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06383A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06383S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06384A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06384S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06385A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06385S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06386A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S06386S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S06389A,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06389S,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S064X0A,"Epidural hemorrhage without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S064X0S,"Epidural hemorrhage without loss of consciousness, sequela",167,167,,Yes,Yes,No
S064X1A,"Epidural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S064X1S,"Epidural hemorrhage with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S064X2A,"Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S064X2S,"Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S064X3A,"Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S064X3S,"Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S064X4A,"Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S064X4S,"Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S064X5A,"Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S064X5S,"Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S064X6A,"Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S064X6S,"Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S064X9A,"Epidural hemorrhage with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S064X9S,"Epidural hemorrhage with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S065X0A,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S065X0S,"Traumatic subdural hemorrhage without loss of consciousness, sequela",167,167,,Yes,Yes,No
S065X1A,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S065X1S,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S065X2A,"Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S065X2S,"Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S065X3A,"Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S065X3S,"Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S065X4A,"Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S065X4S,"Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S065X5A,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S065X5S,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S065X6A,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S065X6S,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S065X9A,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S065X9S,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S066X0A,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S066X0S,"Traumatic subarachnoid hemorrhage without loss of consciousness, sequela",167,167,,Yes,Yes,No
S066X1A,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S066X1S,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S066X2A,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S066X2S,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S066X3A,"Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S066X3S,"Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S066X4A,"Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S066X4S,"Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S066X5A,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S066X5S,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S066X6A,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",166,166,,Yes,Yes,No
S066X6S,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",167,167,,Yes,Yes,No
S066X9A,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S066X9S,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06810A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06810S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06811A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06811S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06812A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06812S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06813A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06813S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06814A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06814S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06815A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06815S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06816A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient sur",166,166,,Yes,Yes,No
S06816S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient sur",167,167,,Yes,Yes,No
S06819A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, initial encounter",167,167,,Yes,Yes,No
S06819S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela",167,167,,Yes,Yes,No
S06820A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, initial encounter",167,167,,Yes,Yes,No
S06820S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, sequela",167,167,,Yes,Yes,No
S06821A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, initial encounter",167,167,,Yes,Yes,No
S06821S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela",167,167,,Yes,Yes,No
S06822A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, initial encounter",167,167,,Yes,Yes,No
S06822S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela",167,167,,Yes,Yes,No
S06823A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",166,166,,Yes,Yes,No
S06823S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",167,167,,Yes,Yes,No
S06824A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, initial encounter",166,166,,Yes,Yes,No
S06824S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela",167,167,,Yes,Yes,No
S06825A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",166,166,,Yes,Yes,No
S06825S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",167,167,,Yes,Yes,No
S06826A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surv",166,166,,Yes,Yes,No
S06826S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surv",167,167,,Yes,Yes,No
